验证节点数：5	实际验证：5		运行时间:0.007908		验证证书时间:0.001111		聚合验证时间:0.005365		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.005950		验证证书时间:0.001401		聚合验证时间:0.003447		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008050		验证证书时间:0.001714		聚合验证时间:0.005008		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007649		验证证书时间:0.001212		聚合验证时间:0.004399		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007127		验证证书时间:0.001508		聚合验证时间:0.004341		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007721		验证证书时间:0.001747		聚合验证时间:0.005124		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007691		验证证书时间:0.001236		聚合验证时间:0.004707		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007175		验证证书时间:0.001423		聚合验证时间:0.004666		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008431		验证证书时间:0.001554		聚合验证时间:0.005309		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008148		验证证书时间:0.001674		聚合验证时间:0.005099		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007526		验证证书时间:0.001124		聚合验证时间:0.004376		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007919		验证证书时间:0.001770		聚合验证时间:0.005299		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008558		验证证书时间:0.001692		聚合验证时间:0.005222		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007347		验证证书时间:0.001275		聚合验证时间:0.004661		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007150		验证证书时间:0.001182		聚合验证时间:0.003508		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007733		验证证书时间:0.001453		聚合验证时间:0.004760		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.006677		验证证书时间:0.001429		聚合验证时间:0.004068		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008058		验证证书时间:0.002059		聚合验证时间:0.005231		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.008047		验证证书时间:0.001871		聚合验证时间:0.004917		存储量：4703
验证节点数：5	实际验证：5		运行时间:0.007919		验证证书时间:0.001788		聚合验证时间:0.004980		存储量：4703
验证节点数：10	实际验证：10		运行时间:0.015329		验证证书时间:0.002998		聚合验证时间:0.010730		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012671		验证证书时间:0.003165		聚合验证时间:0.009230		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013786		验证证书时间:0.002658		聚合验证时间:0.008654		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012779		验证证书时间:0.003015		聚合验证时间:0.008795		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012244		验证证书时间:0.003540		聚合验证时间:0.009147		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012788		验证证书时间:0.002870		聚合验证时间:0.008777		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.011792		验证证书时间:0.003095		聚合验证时间:0.008943		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.015544		验证证书时间:0.002923		聚合验证时间:0.008767		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013175		验证证书时间:0.002761		聚合验证时间:0.008233		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012356		验证证书时间:0.002857		聚合验证时间:0.008567		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.011954		验证证书时间:0.002892		聚合验证时间:0.008554		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.011612		验证证书时间:0.002330		聚合验证时间:0.007690		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.015768		验证证书时间:0.003321		聚合验证时间:0.011286		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013073		验证证书时间:0.002654		聚合验证时间:0.008764		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.011094		验证证书时间:0.002549		聚合验证时间:0.007487		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013997		验证证书时间:0.004547		聚合验证时间:0.010410		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013746		验证证书时间:0.002672		聚合验证时间:0.008945		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.015433		验证证书时间:0.002833		聚合验证时间:0.010460		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.013071		验证证书时间:0.003444		聚合验证时间:0.009245		存储量：9303
验证节点数：10	实际验证：10		运行时间:0.012119		聚合验证时间:0.008859		存储量：9303
验证节点数：15	实际验证：15		运行时间:0.017179		聚合验证时间:0.012160		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018243		聚合验证时间:0.012793		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.016453		聚合验证时间:0.012893		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.015786		聚合验证时间:0.011706		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.016592		聚合验证时间:0.012528		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018201		聚合验证时间:0.013714		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018191		聚合验证时间:0.014104		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018457		聚合验证时间:0.013328		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.022728		聚合验证时间:0.017877		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018061		聚合验证时间:0.013096		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018108		聚合验证时间:0.012148		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.020334		聚合验证时间:0.015333		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.017471		聚合验证时间:0.012998		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.019955		聚合验证时间:0.014358		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.015075		聚合验证时间:0.009220		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018280		聚合验证时间:0.013348		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.017295		聚合验证时间:0.012820		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018388		聚合验证时间:0.014278		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.016299		聚合验证时间:0.012689		存储量：13903
验证节点数：15	实际验证：15		运行时间:0.018328		聚合验证时间:0.014333		存储量：13903
验证节点数：20	实际验证：20		运行时间:0.022035		聚合验证时间:0.016767		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021788		聚合验证时间:0.017082		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.023736		聚合验证时间:0.018192		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021476		聚合验证时间:0.017107		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.024959		聚合验证时间:0.021070		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021812		聚合验证时间:0.016520		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021839		聚合验证时间:0.016790		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.025469		聚合验证时间:0.019915		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021408		聚合验证时间:0.016797		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.023295		聚合验证时间:0.017856		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.021900		聚合验证时间:0.016684		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.020021		聚合验证时间:0.015902		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.027600		聚合验证时间:0.024519		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.029993		聚合验证时间:0.016852		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.025966		聚合验证时间:0.019067		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.022303		聚合验证时间:0.017113		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.027332		聚合验证时间:0.020197		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.024313		聚合验证时间:0.019746		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.022684		聚合验证时间:0.017758		存储量：18503
验证节点数：20	实际验证：20		运行时间:0.023106		聚合验证时间:0.017254		存储量：18503
验证节点数：25	实际验证：25		运行时间:0.027657		聚合验证时间:0.021953		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.025430		聚合验证时间:0.019991		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.029627		聚合验证时间:0.020953		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026964		聚合验证时间:0.020787		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.025759		聚合验证时间:0.020735		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026864		聚合验证时间:0.022025		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026403		聚合验证时间:0.019953		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026692		聚合验证时间:0.020902		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026532		聚合验证时间:0.020970		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.028489		聚合验证时间:0.023509		存储量：23103
